Target,cg00219921,cg00636427,cg00771778,cg00849570,cg01639201,cg01884715,cg04115006,cg04537602,cg04603130,cg04635849,cg05350315,cg05496363,cg05501357,cg06243638,cg06734169,cg08641579,cg09174690,cg09894276,cg11276456,cg11374732,cg11913894,cg11963436,cg11993925,cg12176476,cg12697442,cg14046074,cg15573998,cg15692052,cg15989608,cg16277479,cg16397722,cg16583193,cg17184477,cg17374802,cg17458101,cg17983571,cg18036763,cg19048327,cg19064302,cg19486047,cg20432680,cg20500144,cg21040096,cg21158528,cg22205544,cg22755445,cg24427243,cg25613180,cg25783497,cg26788916
RA_82,0.9493165,0.959848334,0.8098475,0.325569475,0.010459303,0.942526026,0.900470674,0.544654839,0.292101015,0.804901709,0.690378214,0.906764436,0.445193089,0.725803193,0.005695704,,0.636013429,0.898040672,0.006583466,0.966495567,0.006128018,0.98135809,0.219813655,0.007294356,0.019009044,0.921142042,0.958550153,0.834080852,0.11093607,0.076192056,0.970941649,0.973564532,0.024533472,0.871945782,0.006371899,0.98071163,0.02737771,0.906416372,0.007889523,0.906507812,0.97163845,0.00830226,0.8867674,0.008077557,0.70434464,0.670573852,0.010180338,0.560543914,0.955860062,0.013405108
RA_81,0.970748338,0.967441698,0.799823551,0.386409546,0.00854083,0.960349862,0.944458351,0.667321438,0.660915741,0.954528134,0.771061714,0.901727004,0.346860622,0.751094092,0.007525629,,0.660244064,0.765238399,0.005490197,0.975142761,0.006559786,0.981810234,0.247757703,0.006098141,0.019599294,0.925913943,0.959578207,0.88152628,0.185582981,0.036199868,0.977560939,0.977682541,0.039405741,0.889573807,0.006584602,0.9771811,0.015746753,0.914746525,0.007021453,0.924254016,0.977241633,0.006872881,0.911547813,0.006538022,0.6561465,0.652776482,0.010990678,0.549298927,0.967667219,0.0113562
RA_80,0.930604626,0.965555765,0.825694797,0.407132288,0.00988128,0.962575786,0.934516401,0.562094146,0.761774661,0.875001331,0.596856188,0.887248887,0.497994188,0.708834071,0.110168885,,0.633848606,0.756971174,0.00614868,0.9725427,0.006821729,0.980219225,0.329243522,0.00731624,0.027067705,0.924554185,0.955709712,0.760092936,0.161038003,0.03831766,0.976168636,0.978043303,0.034529475,0.860124541,0.005680182,0.983479135,0.005952381,0.90712349,0.006551026,0.925963676,0.974165861,0.007389028,0.791652568,0.008040826,0.721794017,0.708987844,0.010297671,0.633523325,0.964355517,0.008242612
RA_79,0.948673344,0.961806983,0.795507933,0.445676936,0.009306575,0.949415965,0.939852193,0.523831653,0.367316449,0.817427613,0.661990091,0.930817207,0.439149996,0.756323257,0.007711651,,0.579035424,0.743106095,0.006098681,0.974487722,0.007886249,0.983144832,0.340794729,0.00462216,0.017614883,0.910599766,0.957732471,0.83710079,0.196490341,0.037370525,0.971650074,0.974765642,0.037017108,0.828939882,0.006749202,0.984514991,0.007539683,0.903423191,0.006653487,0.918859649,0.978100935,0.005480777,0.907599474,0.005598042,0.668506026,0.723121947,0.009328961,0.605000793,0.963732846,0.012921066
RA_78,0.965012492,0.965297482,0.822607333,0.446858485,0.008652893,0.958578076,0.930825861,0.646799683,0.283718415,0.873327303,0.673720521,0.917271837,0.424752358,0.75,0.005216946,,0.728247258,0.853249486,0.007129612,0.970133045,0.006877845,0.97831934,0.318076702,0.007721173,0.017762034,0.927137705,0.954405962,0.810549663,0.120192308,0.04515576,0.970847581,0.97403673,0.031100074,0.890532679,0.006469716,0.977504681,0.00877193,0.933823529,0.006682437,0.884280594,0.978179951,0.00599986,0.92613798,0.008481223,0.703187479,0.66629437,0.009764147,0.615939634,0.96411124,0.013900755
RA_76,0.951122631,0.962802209,0.749985733,0.373244655,0.010090296,0.948596286,0.949098554,0.702609009,0.71337538,0.966974186,0.809567865,0.918676075,0.273309426,0.740044248,0.005523922,,0.499055678,0.856703185,0.006829376,0.967194005,0.008106503,0.985248447,0.272596237,0.005309019,0.015409789,0.894855342,0.964650767,0.902761446,0.131021754,0.027530395,0.972728233,0.974262337,0.027931993,0.881361116,0.005616425,0.973937751,0.003333333,0.933759533,0.00756596,0.922034022,0.975474031,0.006629667,0.930594739,0.006798562,0.736990132,0.612591935,0.010961488,0.473336372,0.967837409,0.01167271
RA_75,0.929567903,0.960546856,0.775440009,0.444677157,0.009949644,0.954125633,0.93712725,0.616210991,0.692795119,0.872310988,0.631185796,0.894009277,0.477954326,0.72473997,0.010058743,,0.650208705,0.848414642,0.004857461,0.975864503,0.00784117,0.982321557,0.304581965,0.005480316,0.025179099,0.9179189,0.944083874,0.860197268,0.121837811,0.050395894,0.966998095,0.97634191,0.027661997,0.851740269,0.007463459,0.971128945,0.018756039,0.882379292,0.006760257,0.921525532,0.97887703,0.006206147,0.916911883,0.005850502,0.744194288,0.71143584,0.009674701,0.612751512,0.966301446,0.019160686
RA_74,0.909956867,0.960416328,0.849390459,0.452207228,0.009116789,0.958838937,0.940560873,0.515550474,0.42947752,0.870701816,0.464196031,0.912754118,0.642747131,0.674125874,0.006714726,,0.645530672,0.830751432,0.007518158,0.971362663,0.008784167,0.97473154,0.217694647,0.007384459,0.032136206,0.898052765,0.933170901,0.754862037,0.093090258,0.072861968,0.962598351,0.976602808,0.038392822,0.850707416,0.005801574,0.975670013,0.014859069,0.874309226,0.008422551,0.905647418,0.978818628,0.005896153,0.901812383,0.006980199,0.730034983,0.722163516,0.008505943,0.672284565,0.959938979,0.021867419
RA_73,0.900915428,0.964668946,0.81749227,0.376190859,0.01102566,0.965191052,0.930846028,0.589525905,0.517533714,0.798864089,0.616106667,0.893304537,0.486216557,0.653386454,0.014272796,,0.560241881,0.677261463,0.006718902,0.970046106,0.008224918,0.982692297,0.320171537,0.005064274,0.027435098,0.894414818,0.953554502,0.788511122,0.137237793,0.053988323,0.972684887,0.972507092,0.034283177,0.882409054,0.006082041,0.970960238,0.0453125,0.888449502,0.007984568,0.900905797,0.97782694,0.007797757,0.891050616,0.00712975,0.694343159,0.673749962,0.007264417,0.5996754,0.9648242,0.016693338
RA_72,0.933068828,0.96440573,0.81356878,0.450720246,0.012038254,0.959790662,0.932762232,0.499498886,0.538637246,0.784955576,0.679840998,0.906853983,0.406501795,0.726457399,0.00560281,,0.664096814,0.619706813,0.006406622,0.976658693,0.007536776,0.985077683,0.334229207,0.007138631,0.01946278,0.917189771,0.93671875,0.814025258,0.13183482,0.038964247,0.975247226,0.971434031,0.032721949,0.851892765,0.006806306,0.981439394,,0.914260063,0.007238597,0.877321144,0.978243835,0.008074314,0.790913371,0.005040636,0.750781034,0.678131757,0.009360893,0.591300744,0.963280703,0.016878373
RA_70,0.91754511,0.964497134,0.818211671,0.368784572,0.009979433,0.954713432,0.94118366,0.551343098,0.537012519,0.801861372,0.627865372,0.914670225,0.434318213,0.701694915,0.005136377,,0.56667275,0.797169055,0.006163233,0.968128798,0.008802094,0.972897523,0.306315042,0.008252196,0.024297504,0.919990966,0.957746479,0.844524068,0.142815986,0.04531718,0.977332515,0.972003682,0.034925277,0.845625497,0.007182639,0.980651341,0.015909091,0.917002012,0.006297514,0.921802156,0.981678533,0.007666701,0.795230318,0.003767777,0.743742523,0.69217274,0.009137008,0.608216817,0.968990767,0.012291599
RA_69,0.926092106,0.962111354,0.822393564,0.437211051,0.011318957,0.958644094,0.941166544,0.582480409,0.475881307,0.858855338,0.574405349,0.86151399,0.556081255,0.695269527,0.009839832,,0.485969778,0.821805207,0.006505076,0.970302266,0.008313988,0.976650402,0.352461574,0.006143374,0.018988738,0.907320202,0.960044395,0.754654979,0.113132119,0.045362575,0.972407732,0.971794524,0.037022214,0.843125462,0.007155618,0.970787997,0.017325036,0.89028745,0.006736227,0.909300552,0.978447167,0.006191155,0.914672837,0.008645645,0.683266589,0.689643558,0.009918721,0.624287835,0.965972379,0.021252371
RA_68,0.92182311,0.959905056,0.791279787,0.463749295,0.010428882,0.941467733,0.936993759,0.57559538,0.743794335,0.885756433,0.579833263,0.889387985,0.534846628,0.676478834,0.006960976,,0.680284108,0.683797878,0.006335211,0.970306677,0.008431815,0.978832699,0.371703623,0.006988403,0.043289013,0.906304425,0.935707457,0.874029849,0.149018145,0.045835126,0.972271412,0.972749943,0.031525711,0.883475396,0.007175307,0.981527238,0.047931235,0.886907171,0.007737726,0.915332554,0.980235584,0.008459889,0.907664245,0.008092046,0.682100088,0.665536947,0.010523568,0.614618183,0.963753349,0.015285195
RA_65,0.95865991,0.96404013,0.807911621,0.429414918,0.009277751,0.947931727,0.930230401,0.548339524,0.391054324,0.790958828,0.59050605,0.927555711,0.519619765,0.66950714,0.00678131,,0.571371301,0.884194141,0.007458003,0.970933338,0.009109582,0.97835089,0.304308372,0.005660534,0.021156037,0.903268537,0.947795236,0.863283051,0.153560012,0.06055459,0.967083883,0.975472286,0.033464789,0.855416094,0.007612884,0.982719938,0.022915457,0.89643113,0.007959109,0.883382848,0.955449264,0.006252905,0.896128792,0.006604348,0.686393345,0.638816879,0.008894094,0.616123902,0.95540326,0.032350451
RA_64,0.917321186,0.965015865,0.788653882,0.434191606,0.00932738,0.941739376,0.933088009,0.576785324,0.670784357,0.861302621,0.554980218,0.919661694,0.553153618,0.68792305,0.008280301,,0.577441039,0.641796219,0.00649737,0.96699617,0.007249022,0.981561354,0.28583303,0.006122445,0.023442589,0.914220308,0.931137725,0.77390854,0.177079659,0.030057879,0.974280075,0.975727117,0.033303467,0.851718681,0.006341486,0.978546631,0.016195967,0.89494302,0.007217474,0.920741834,0.977814393,0.006817824,0.895618106,0.006829173,0.650281037,0.704330382,0.00853872,0.668459402,0.960773719,0.017074845
RA_63,0.925588289,0.966690831,0.822498996,0.427960791,0.006804868,0.950780839,0.929567772,0.555143316,0.808874863,0.809305576,0.67987439,0.8530873,0.433870993,0.701598579,0.006385584,,0.638630205,0.816052064,0.006163925,0.972063028,0.007626668,0.977697231,0.298633812,0.007174845,0.026721646,0.909384219,0.948103792,0.84405315,0.195735337,0.038086989,0.973224343,0.977181402,0.037579555,0.86636575,0.007390934,0.969004131,0.008333333,0.908834586,0.008861292,0.887582596,0.978446835,0.005510331,0.927469066,0.006946684,0.683342829,0.684305427,0.011526981,0.578246163,0.957385462,0.010849774
RA_62,0.916794245,0.961722641,0.817489772,0.404421615,0.007379302,0.955168263,0.930836749,0.544501301,0.624190663,0.887596324,0.626041578,0.901198793,0.423687634,0.703399766,0.006600169,,0.596855455,0.770951746,0.008865425,0.970810672,0.00666659,0.979901238,0.300588836,0.006674171,0.023002591,0.907347304,0.95508982,0.830747262,0.135635965,0.033133869,0.977796158,0.975863323,0.030782258,0.884451352,0.006352579,0.972893773,0.009920635,0.907536351,0.006897554,0.915336695,0.981145385,0.009083986,0.914548726,0.006810711,0.726630912,0.6741232,0.007804684,0.609129497,0.963658104,0.020485021
RA_60,0.943849852,0.963595302,0.808239273,0.428648973,0.006573646,0.964370822,0.927335457,0.595303796,0.32932993,0.901234096,0.649807549,0.8770952,0.448288076,0.702050663,0.011024897,,0.6896432,0.860837942,0.005531369,0.971790545,0.00903975,0.985084306,0.293060697,0.00754754,0.025381356,0.917511188,0.957374254,0.83854387,0.179059406,0.031036084,0.972115579,0.974764169,0.028925179,0.863258582,0.006278239,0.985833333,,0.898564687,0.005783335,0.905739591,0.978106683,0.009804583,0.895808758,0.007075786,0.693706789,0.688727886,0.009577285,0.615628292,0.960854541,0.016881858
RA_6,0.845823908,0.960595936,0.822705093,0.409007639,0.01100643,0.964325063,0.938201634,0.522660391,0.626978899,0.876977066,0.478665531,0.873221844,0.607896437,0.696195344,0.009214479,,0.507658788,0.912360502,0.006362658,0.972429233,0.00787475,0.981391596,0.289819284,0.007370313,0.028765087,0.923364659,0.937224438,0.736439675,0.129180539,0.040861248,0.972983991,0.975530812,0.044129049,0.881606245,0.008121972,0.96766545,0.027192982,0.911462695,0.006588098,0.920293431,0.978377494,0.008629234,0.914744944,0.005629033,0.706227758,0.742729538,0.008911345,0.695045209,0.970469789,0.019827948
RA_56,0.962935873,0.960034732,0.771992676,0.355969698,0.007604556,0.973337378,0.945277362,0.716753234,0.725883938,0.889946203,0.761728405,0.890874437,0.26653317,0.757033248,0.00744004,,0.625015858,0.712479301,0.005608334,0.966125268,0.006854369,0.98297491,0.329697573,0.008951491,0.025404697,0.893567538,0.984,0.887414311,0.145085562,0.032852844,0.982776044,0.982140439,0.030739765,0.867474763,0.006090597,0.973864043,,0.92312606,0.007033343,0.921270718,0.979227999,0.007519542,0.934421169,0.00793689,0.722789116,0.671339235,0.011506096,0.52570378,0.972058279,0.015011121
RA_55,0.937614882,0.963594574,0.778908414,0.399496858,0.012052151,0.957727191,0.951732741,0.700052901,0.743556109,0.814083905,0.668923959,0.902263099,0.409798156,0.727809254,0.011808111,,0.593926701,0.736135619,0.006010974,0.966322149,0.007722226,0.980400903,0.321697469,0.007246377,0.010916949,0.911991188,0.966582598,0.828185516,0.150292307,0.032946862,0.973996868,0.973603559,0.031155716,0.868029279,0.008452098,0.975806841,0.01446261,0.92385076,0.008099176,0.924184722,0.980312618,0.006695032,0.78030303,0.007681578,0.62345679,0.664877185,0.009288198,0.565497761,0.968627691,0.013011971
RA_54,0.933928484,0.961938532,0.792169304,0.390149586,0.008289463,0.94152131,0.951214192,0.625816423,0.684014961,0.877834189,0.651555152,0.92148572,0.412686406,0.717081851,0.013170757,,0.587058469,0.806362272,0.005102768,0.974814825,0.00879005,0.975036816,0.325143273,0.00557958,0.014121924,0.921903207,0.969853233,0.788475729,0.158231019,0.044260893,0.980663533,0.981038504,0.035645166,0.906691763,0.006221804,0.94152874,0.013333333,0.922047644,0.008974053,0.920476095,0.980102512,0.006788021,0.929064803,0.008024586,0.768642447,0.699674743,0.007939975,0.592477989,0.966989193,0.011773604
RA_53,0.943107133,0.967500444,0.825017042,0.43944154,0.009256676,0.973160885,0.949831814,0.550095212,0.736833539,0.859251048,0.585043912,0.887388149,0.52277684,0.726141079,0.013622099,,0.679289516,0.700252166,0.007192645,0.971325291,0.009154592,0.986667199,0.316614399,0.005108196,0.020660381,0.930931556,0.958607714,0.907353566,0.080882353,0.027521608,0.974068134,0.969891244,0.037209459,0.903984494,0.007422146,0.975634921,,0.901480724,0.006609314,0.915345528,0.981699814,0.006214452,0.908526685,0.006813155,0.702945471,0.682452962,0.008215439,0.62789884,0.957533977,0.015091412
RA_51,0.961383486,0.961428213,0.769375329,0.397705319,0.008845141,0.94983692,0.944259985,0.622330702,0.635908631,0.878885972,0.712772676,0.938758745,0.420339672,0.717986315,0.008161421,,0.688578724,0.92433151,0.00731292,0.956125565,0.007273019,0.981847182,0.163865849,0.004754696,0.021814407,0.926775815,0.954887218,0.84743253,0.179311527,0.031545539,0.97263767,0.975411126,0.029721473,0.865639895,0.006732244,0.965440451,0.00696767,0.9250755,0.00732062,0.890965112,0.977430111,0.004998518,0.87224797,0.005515321,0.744711883,0.663369577,0.009035628,0.599698222,0.961793887,0.015329945
RA_48,0.949831429,0.964939289,0.77053475,0.419103149,0.009485336,0.943002989,0.937348567,0.653285944,0.785989101,0.88464929,0.682905693,0.93714537,0.450372112,0.708707998,0.007452471,,0.603795551,0.877300249,0.005854731,0.973943137,0.007576074,0.980900405,0.315154059,0.004371568,0.020398644,0.913214215,0.94513315,0.887316201,0.211706146,0.047641142,0.971443748,0.974183584,0.030442633,0.875913373,0.008500183,0.9803487,0.035642427,0.913276901,0.009349942,0.896815758,0.981195841,0.008390274,0.911051365,0.007542525,0.671713019,0.651771269,0.011190326,0.574381902,0.961215088,0.019674413
RA_45,0.940090716,0.965968104,0.805324726,0.441409308,0.008670312,0.959342122,0.943680933,0.590940907,0.494036752,0.810941946,0.649027721,0.894752809,0.455825088,0.710477371,0.006312467,,0.521739003,0.822280992,0.006113784,0.971181892,0.007701078,0.983488638,0.318050317,0.004202726,0.029241962,0.917344466,0.958715596,0.807874123,0.283397012,0.04708125,0.97250078,0.974326242,0.03009797,0.863613569,0.00715679,0.968272385,0.009748932,0.890570697,0.007321581,0.917415757,0.967320075,0.007883922,0.790915038,0.006782598,0.749559798,0.673172996,0.009957296,0.604544603,0.965413773,0.015892978
RA_43,0.945249516,0.959263971,0.774245375,0.403453441,0.009420053,0.953251622,0.931277812,0.614604071,0.698202185,0.860484783,0.690757567,0.942015048,0.406427546,0.709524749,0.007139551,,0.5538998,0.873465661,0.007250007,0.972910689,0.008969756,0.981403521,0.260258363,0.006371639,0.016552509,0.912358218,0.943993372,0.876283567,0.179708368,0.03967558,0.979379766,0.972240577,0.031601064,0.827291533,0.005860126,0.97220182,0.016862536,0.893590541,0.007825994,0.913829505,0.956944013,0.006870426,0.9173407,0.007321964,0.635301256,0.644723498,0.009919307,0.55029118,0.960879752,0.011985955
RA_41,0.949278976,0.964933518,0.756426508,0.34831165,0.008834868,0.954354191,0.933881762,0.598982377,0.439624836,0.811739656,0.654493298,0.901505328,0.513206954,0.72621298,0.006914689,,0.638423856,0.717853852,0.006765165,0.968737221,0.00730788,0.981441457,0.327048381,0.005248365,0.019095181,0.903928412,0.95004962,0.812328841,0.145791894,0.036491907,0.971478316,0.97257247,0.031347704,0.875909853,0.007623724,0.977170439,0.01533189,0.903621209,0.008344722,0.900214512,0.979471517,0.005265528,0.91634916,0.007881304,0.710892495,0.671325084,0.009728139,0.630186943,0.968819869,0.0134967
RA_409,0.944860723,0.96281868,0.836410547,0.407194676,0.009601022,0.960724371,0.933860933,0.538657314,0.654899084,0.793253587,0.674441709,0.868650248,0.427523819,0.713307864,0.005884317,,0.525031809,0.808114233,0.005683102,0.966550039,0.007212838,0.981146639,0.25860424,0.004933871,0.020203567,0.911546781,0.955452602,0.824806357,0.150606715,0.052921516,0.966859841,0.979328669,0.033708271,0.805994184,0.006936465,0.97847537,0.009592883,0.910593848,0.007074649,0.91957484,0.944500839,0.005948594,0.818788349,0.00584121,0.734074796,0.713799022,0.011197062,0.620834995,0.966992057,0.015578379
RA_408,0.928135591,0.962570335,0.751343697,0.424698905,0.009118034,0.965881663,0.926264665,0.595116194,0.435875999,0.87161525,0.67088899,0.917428239,0.453581361,0.67924228,0.006531696,,0.543135805,0.774391561,0.006612958,0.973805091,0.008144562,0.979664817,0.27521537,0.005084189,0.021897562,0.897218223,0.937079234,0.824793187,0.180284887,0.036629653,0.97547801,0.972687591,0.035367156,0.844680679,0.0068907,0.974484612,0.015806131,0.88883593,0.007101943,0.887373844,0.962636441,0.006155211,0.792106357,0.006123479,0.712002846,0.652984348,0.009503976,0.529031689,0.963053522,0.014788155
RA_407,0.937289968,0.960243927,0.799859677,0.414229904,0.008152442,0.9828125,0.941234165,0.660290138,0.795234161,0.882870493,0.747688499,0.908043244,0.308564635,0.700771056,0.00797422,,0.613907211,0.900566021,0.007449271,0.968732455,0.008117868,0.979296786,0.349699348,0.005396397,0.019755793,0.914454589,0.944681578,0.891098688,0.160441426,0.040882662,0.974353735,0.976756006,0.030629114,0.889035162,0.007587371,0.978908239,0.019735045,0.895769734,0.006899742,0.921828891,0.961430612,0.006151177,0.901685122,0.006992309,0.687000063,0.630925506,0.01112287,0.559460442,0.96708145,0.013093312
RA_405,0.830086512,0.964678684,0.845938169,0.412526888,0.008840093,0.971428571,0.914342901,0.504939228,0.858249602,0.839043691,0.467653661,0.905611304,0.643034846,0.628256071,0.009560404,,0.728198499,0.86754546,0.007004491,0.971252717,0.008214105,0.978082334,0.318672883,0.005075727,0.035295746,0.908755678,0.902740864,0.689068983,0.107106422,0.074951723,0.973045092,0.974316756,0.038058073,0.843983693,0.006418302,0.973824544,0.020649124,0.863461815,0.007605716,0.887440726,0.969794241,0.007125272,0.883559925,0.007621153,0.71297788,0.698587238,0.009710363,0.676025527,0.956607241,0.036455964
RA_404,0.95559342,0.965778274,0.787243151,0.430177526,0.006808492,0.908730159,0.934003228,0.512139899,0.572031115,0.949581563,0.671220166,0.893771874,0.446311251,0.761338617,0.005096829,,0.585790303,0.730777221,0.005128737,0.968509968,0.006463302,0.979333356,0.342185753,0.005751162,0.022921143,0.914555249,0.953708192,0.852689623,0.198967457,0.041693927,0.975461442,0.979180277,0.031654191,0.898751257,0.006833656,0.975968911,0.017062759,0.919174427,0.007877957,0.904729324,0.980715184,0.006938562,0.904824164,0.006991383,0.681827245,0.673626265,0.009761376,0.578137855,0.965534119,0.013487668
RA_403,0.955307619,0.964954175,0.738116538,0.38082302,0.008219023,0.964831016,0.931031788,0.499982873,0.568765389,0.881043908,0.677754104,0.914981176,0.439059143,0.722923114,0.007148613,,0.453280546,0.629728993,0.006769933,0.977665016,0.007619484,0.982801362,0.230538975,0.00653393,0.023742144,0.900971566,0.948967027,0.835904514,0.115323075,0.042468037,0.9772588,0.975127695,0.029013289,0.831056805,0.007793472,0.965699238,0.012098132,0.928589979,0.006079489,0.902688175,0.964232929,0.00772646,0.855038593,0.007666801,0.615900454,0.675796701,0.009542482,0.540082589,0.962289197,0.017156339
